ASCII Value,Character,Number of Files
33,!,207
34,"""",267
35,#,152
36,$,192
37,%,190
38,&,104
39,',276
40,(,346
41,),359
42,*,128
43,+,146
44,",",320
45,-,447
46,.,486
47,/,259
48,0,2664
49,1,2791
50,2,2564
51,3,2671
52,4,2530
53,5,2343
54,6,2503
55,7,2679
56,8,2544
57,9,2617
58,:,287
59,;,223
60,<,168
61,=,254
62,>,162
63,?,194
64,@,83
65,A,1923
66,B,1505
67,C,1644
68,D,1553
69,E,2171
70,F,1468
71,G,1443
72,H,1543
73,I,1888
74,J,1470
75,K,1504
76,L,1692
77,M,1484
78,N,1683
79,O,2097
80,P,1605
81,Q,1409
82,R,1811
83,S,1786
84,T,1729
85,U,1458
86,V,1405
87,W,1521
88,X,1366
89,Y,1456
90,Z,1451
91,[,111
93,],104
94,^,88
95,_,80
96,`,42
97,a,2219
98,b,624
99,c,880
100,d,1074
101,e,2962
102,f,608
103,g,760
104,h,990
105,i,2035
106,j,427
107,k,557
108,l,1415
109,m,879
110,n,1906
111,o,2048
112,p,786
113,q,427
114,r,1708
115,s,1557
116,t,1781
117,u,1319
118,v,555
119,w,680
120,x,463
121,y,680
122,z,505
123,{,73
124,|,91
125,},77
126,~,59
999,null,4999
